taskid,score
780d0b14,-1
782b5218,3
7837ac64,-1
79369cc6,-1
794b24be,-1
7953d61e,3
79fb03f4,-1
7b6016b9,3
7b7f7511,-1
7bb29440,3
7c008303,-1
7c8af763,-1
7c9b52a0,3
7d18a6fb,-1
7d1f7ee8,3
7d419a02,-1
7ddcd7ec,23
7df24a62,-1
7e02026e,-1
7e0986d6,-1
7ee1c6ea,3
7f4411dc,-1
7fe24cdd,-1
80af3007,3
810b9b61,3
817e6c09,-1
81c0276b,3
82819916,-1
83302e8f,3
833dafe3,3
834ec97d,4
8403a5d5,-1
845d6e51,-1
846bdb03,-1
84db8fc4,3
84f2aca1,-1
855e0971,4
8597cfd7,3
85b81ff1,-1
85c4e7cd,-1
85fa5666,-1
868de0fa,-1
8719f442,-1
8731374e,-1
88207623,-1
88a10436,-1
88a62173,3
890034e9,-1
891232d6,-1
896d5239,-1
8a004b2b,-1
8a371977,3
8b28cd80,-1
8ba14f53,3
8be77c9e,3
8cb8642d,-1
8d5021e8,3
8d510a79,3
8dae5dfc,-1
8e1813be,3
8e2edd66,3
8e5a5113,3
8eb1be9a,3
8ee62060,3
8efcae92,3
8f2ea7aa,3
8fbca751,-1
90347967,-1
903d1b4a,3
90c28cc7,3
90f3ed37,-1
9110e3c5,23
913fb3ed,-1
91413438,-1
91714a58,-1
9172f3a0,3
917bccba,3
928ad970,3
929ab4e9,3
92e50de0,-1
9356391f,-1
93b4f4b3,-1
93b581b8,-1
93c31fbe,3
94133066,33
941d9a10,-1
94414823,3
94be5b80,-1
94f9d214,3
952a094c,3
9565186b,3
95990924,-1
95a58926,3
963e52fc,3
963f59bc,-1
96a8c0cd,-1
97239e3d,-1
9772c176,-1
97999447,-1
97a05b5b,-1
981571dc,3
98cf29f8,23
992798f6,-1
99306f82,-1
995c5fa3,-1
99b1bc43,3
99fa7670,3
9a4bb226,3
9aec4887,-1
9af7a82c,4
9b2a60aa,-1
9b365c51,-1
9b4c17c4,-1
9bebae7a,-1
9c1e755f,33
9c56f360,-1
9caba7c3,-1
9d9215db,-1
9ddd00f0,-1
9def23fe,33
9dfd6313,3
9ecd008a,-1
9edfc990,-1
9f236235,3
9f27f097,4
a04b2602,-1
a096bf4d,-1
a1570a43,4
a2fd1cf0,3
a3325580,-1
a3df8b1e,-1
a3f84088,-1
a406ac07,3
a416b8f3,3
a48eeaf7,-1
a5313dff,3
a57f2f04,-1
a59b95c0,3
a5f85a15,-1
a61ba2ce,-1
a61f2674,-1
a64e4611,-1
a65b410d,3
a680ac02,3
a68b268e,3
a699fb00,3
a740d043,3
a78176bb,23
a79310a0,4
a85d4709,-1
a8610ef7,-1
a87f7484,3
a8c38be5,-1
a8d7556c,-1
a934301b,23
a9f96cdd,-1
aa18de87,3
aa300dc3,-1
aa4ec2a5,3
aab50785,-1
aabf363d,3
aba27056,-1
ac0a08a4,3
ac0c5833,-1
ac2e8ecf,-1
ac3e2b04,-1
ac605cbb,-1
ad7e01d0,3
ae3edfdc,23
ae4f1146,3
ae58858e,3
aedd82e4,-1
aee291af,-1
af22c60d,3
af24b4cc,3
af902bf9,3
b0722778,-1
b0c4d837,23
b0f4d537,-1
b15fca0b,-1
b190f7f5,23
b1948b0a,3
b1fc8b8e,3
b20f7c8b,-1
b230c067,-1
b27ca6d3,-1
b2862040,3
b457fec5,-1
b4a43f3b,-1
b527c5c6,-1
b548a754,3
b60334d2,-1
b6afb2da,3
b7249182,-1
b775ac94,-1
b782dc8a,3
b7999b51,-1
b7cb93ac,-1
b7f8a4d8,3
b7fb29bc,-1
b8825c91,3
b8cdaf2b,4
b91ae062,3
b942fd60,-1
b94a9452,3
b9630600,-1
b9b7f026,-1
ba26e723,3
ba97ae07,3
ba9d41b8,3
baf41dbf,-1
bb43febb,3
bb52a14b,-1
bbb1b8b6,3
bbc9ae5d,3
bc1d5164,3
bc4146bd,3
bcb3040b,-1
bd14c3bf,-1
bd4472b8,-1
bda2d7a6,-1
bdad9b1f,-1
be03b35f,3
be94b721,3
beb8660c,4
bf32578f,3
bf699163,-1
bf89d739,-1
c074846d,-1
c0f76784,-1
c1990cce,-1
c1d99e64,3
c3202e5a,3
c35c1b4c,3
c3e719e8,3
c3f564a4,3
c444b776,-1
c48954c1,3
c59eb873,3
c62e2108,-1
c64f1187,-1
c658a4bd,-1
c663677b,3
c6e1b8da,-1
c7d4e6ad,3
c87289bb,-1
c8b7cc0f,3
c8cbb738,-1
c8f0f002,3
c909285e,-1
c92b942c,3
c97c0139,-1
c9e6f938,3
c9f8e694,3
ca8de6ea,3
ca8f78db,3
caa06a1f,-1
cad67732,-1
cb227835,-1
cbded52d,-1
ccd554ac,3
cce03e0d,3
cd3c21df,3
cdecee7f,-1
ce039d91,3
ce22a75a,3
ce4f8723,3
ce602527,23
ce8d95cc,3
ce9e57f2,3
cf133acc,3
cf98881b,3
cfb2ce5a,-1
d017b73f,-1
d037b0a7,3
d06dbe63,-1
d07ae81c,-1
d0f5fe59,-1
d10ecb37,3
d13f3404,3
d19f7514,3
d22278a0,-1
d23f8c26,3
d282b262,-1
d2abd087,-1
d2acf2cb,-1
d304284e,-1
d364b489,-1
d37a1ef5,3
d406998b,23
d43fd935,-1
d4469b4b,3
d47aa2ff,-1
d492a647,3
d4a91cb9,4
d4b1c2b1,3
d4c90558,-1
d4f3cd78,-1
d511f180,3
d56f2372,3
d5c634a2,-1
d5d6de2d,3
